,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
212,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Rank,[[-303.59790095]],0.25118864315095796,1.7915804386138916
213,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Rank,[[-303.59790095]],3.981071705534969,3.281656265258789
214,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Rank,[[-303.59790095]],63.0957344480193,2.19604754447937
215,dataset_oth_db,1391,bytesRead,1526,0,Pelt,Rank,[[0.]],1000.0,3.6803295612335205
216,dataset_oth_db,1391,bytesRead,1526,1,Binseg,L1,1680117.0,0.001,0.12510395050048828
217,dataset_oth_db,1391,bytesRead,1526,1,Binseg,L1,1680117.0,0.015848931924611134,0.12474250793457031
218,dataset_oth_db,1391,bytesRead,1526,1,Binseg,L1,1680117.0,0.25118864315095796,0.12466239929199219
219,dataset_oth_db,1391,bytesRead,1526,4,Binseg,L1,1680117.0,3.981071705534969,0.3099958896636963
220,dataset_oth_db,1391,bytesRead,1526,64,Binseg,L1,1680117.0,63.0957344480193,3.6176207065582275
221,dataset_oth_db,1391,bytesRead,1526,1,Binseg,L2,2678781938984.5503,0.001,0.08826065063476562
222,dataset_oth_db,1391,bytesRead,1526,1,Binseg,L2,2678781938984.5503,0.015848931924611134,0.08805179595947266
223,dataset_oth_db,1391,bytesRead,1526,1,Binseg,L2,2678781938984.5503,0.25118864315095796,0.0880594253540039
224,dataset_oth_db,1391,bytesRead,1526,3,Binseg,L2,2255937276535.2,3.981071705534969,0.08911943435668945
225,dataset_oth_db,1391,bytesRead,1526,3,Binseg,L2,2255937276535.2,63.0957344480193,0.08954548835754395
226,dataset_oth_db,1391,bytesRead,1526,1,Binseg,Gauss,-20293.745879630158,0.001,0.13833141326904297
